"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"01-220908_0240.wav.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 02:41:28 BRT"	"60790"	"46"	"8294923879a052a61b2345ca53601566"	"unknown"	"rrwxrwxrwx"	"/img_T:/01-220908_0240.wav.reapeaks"
"01-220908_0240.wav.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 02:41:28 BRT"	"650"	"46"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/01-220908_0240.wav.reapeaks-slack"
"refrao3.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 10:59:38 BRT"	"445612"	"63"	"81ca541a3d7618255b8761c579057880"	"unknown"	"rrwxrwxrwx"	"/img_T:/refrao3.mp3"
"refrao3.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 10:59:38 BRT"	"852"	"63"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/refrao3.mp3-slack"
"verso3_1.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:13:33 BRT"	"10530"	"74"	"86a6d05e957580e55a5456201bd14bcb"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso3_1.mp3.reapeaks"
"verso3_1.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:13:33 BRT"	"1758"	"74"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso3_1.mp3.reapeaks-slack"
"verso4_1.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:30 BRT"	"144796"	"75"	"b31b7691db8e6c0ee869433e0e3710f8"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso4_1.mp3"
"verso4_1.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:30 BRT"	"2660"	"75"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso4_1.mp3-slack"
"verso4_1.mp3:Zone.Identifier"	".Identifier"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:30 BRT"	"167"	"75"	"f40fe0edb7c1ac467895aa746476a39a"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso4_1.mp3:Zone.Identifier"
"verso4_1.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:15:11 BRT"	"11666"	"76"	"3394765da5692e727a206803d7c2960a"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso4_1.mp3.reapeaks"
"verso4_1.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:15:11 BRT"	"622"	"76"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso4_1.mp3.reapeaks-slack"
"verso5 (online-audio-converter.com).mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:27:52 BRT"	"220012"	"77"	"dd3978dd1d8f083b340e8cfc2fb72cab"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso5 (online-audio-converter.com).mp3"
"verso5 (online-audio-converter.com).mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:27:52 BRT"	"1172"	"77"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso5 (online-audio-converter.com).mp3-slack"
